2015/1,6.7,14.3,0.0
2015/2,6.6,13.5,-0.7
2015/3,9.8,20.9,-0.8
2015/4,16.0,25.7,6.4
2015/5,20.2,29.5,11.0
2015/6,21.9,30.5,14.0
2015/7,26.3,35.2,18.8
2015/8,27.1,34.6,20.7
2015/9,23.1,31.0,16.4
2015/10,18.3,28.5,9.4
2015/11,15.5,26.4,5.6
2015/12,10.0,17.9,1.3
2016/1,6.6,17.0,-2.4
2016/2,7.2,18.8,-0.8
2016/3,10.8,21.9,0.5
2016/4,16.1,25.1,6.2
2016/5,20.3,28.9,10.5
2016/6,23.1,30.8,14.5
2016/7,27.8,35.0,20.8
2016/8,29.1,36.4,19.3
2016/9,25.3,34.0,19.7
2016/10,21.1,32.1,11.5
2016/11,13.8,22.1,5.0
2016/12,9.7,21.9,1.8
2017/1,6.6,14.7,-0.3
2017/2,7.0,17.6,-0.6
2017/3,9.2,20.1,2.0
2017/4,15.7,27.0,4.3
2017/5,20.2,30.2,12.5
2017/6,22.5,32.1,14.1
2017/7,28.5,35.0,22.9
2017/8,28.8,37.2,21.6
2017/9,23.7,32.2,15.1
2017/10,18.8,28.4,7.6
2017/11,12.7,22.3,4.3
2017/12,6.8,14.8,0.0
2018/1,5.0,15.6,-2.3
2018/2,5.5,18.9,-2.4
2018/3,11.4,22.8,0.4
2018/4,16.7,26.0,2.8
2018/5,19.8,30.1,9.9
2018/6,23.0,33.8,14.3
2018/7,28.3,35.9,21.6
2018/8,29.4,37.4,21.2
2018/9,24.1,33.6,16.3
2018/10,19.1,32.3,11.1
2018/11,13.6,23.8,3.4
2018/12,9.4,25.2,0.7
2019/1,7.2,13.7,0.6
2019/2,8.2,16.6,1.1
2019/3,10.9,25.3,1.6
2019/4,14.8,26.3,2.9
2019/5,20.3,32.3,9.1
2019/6,23.0,30.9,16.2
2019/7,26.1,34.9,20.4
2019/8,27.8,36.0,19.8
2019/9,26.3,34.6,16.6
2019/10,20.7,33.3,12.1
2019/11,14.1,24.8,3.8
2019/12,9.7,18.2,2.8
2020/1,8.7,19.5,1.3
2020/2,8.4,17.8,0.7
2020/3,11.4,21.7,1.6
2020/4,13.3,22.4,3.9
2020/5,20.1,28.0,11.8
2020/6,24.2,33.1,17.2
2020/7,25.6,34.3,18.4
2020/8,29.7,36.0,23.8
2020/9,25.2,36.2,16.1
2020/10,18.8,27.8,9.4
2020/11,14.7,27.6,5.9
2020/12,7.9,17.6,0.5
2021/1,6.2,15.5,-2.5
2021/2,8.9,21.8,-1.3
2021/3,12.7,21.6,2.5
2021/4,15.5,25.1,6.0
2021/5,19.5,29.2,8.0
2021/6,23.4,33.0,16.3
2021/7,27.2,34.7,22.0
2021/8,27.5,36.1,22.5
2021/9,25.0,31.4,18.1
2021/10,20.1,31.4,9.9
2021/11,13.7,24.4,3.9
2021/12,8.8,18.3,0.6
2022/1,5.9,13.7,-1.4
2022/2,5.2,15.1,-1.5
2022/3,11.9,23.4,1.5
2022/4,15.9,27.2,4.5
2022/5,19.3,30.5,9.5
2022/6,24.1,35.5,15.6
2022/7,27.8,35.9,22.8
2022/8,29.1,35.7,21.9
2022/9,26.2,35.5,17.7
2022/10,19.2,31.9,9.5
2022/11,15.5,24.1,7.5
2022/12,7.4,17.4,0.6
2023/1,6.5,18.9,-2.8
2023/2,7.6,18.4,0.0
2023/3,12.7,23.5,0.3
2023/4,15.9,24.9,6.2
2023/5,19.8,30.4,9.4
2023/6,23.1,33.0,15.3
2023/7,28.0,35.3,20.6
2023/8,28.9,36.4,23.9
2023/9,27.3,36.7,18.8
2023/10,19.4,29.2,10.7
2023/11,14.8,27.8,4.8
2023/12,9.3,23.0,-0.3
2024/1,7.4,17.8,-2.1
2024/2,9.0,22.5,1.4
2024/3,10.1,23.1,-0.3
2024/4,17.2,25.2,6.4
2024/5,19.5,30.9,9.9
2024/6,23.5,32.4,14.8
2024/7,29.0,36.0,21.6
2024/8,29.9,36.9,24.7
2024/9,28.0,35.1,19.9
2024/10,21.6,29.7,14.7
2024/11,14.9,25.7,5.0
2024/12,8.6,18.4,1.3
2025/1,6.3,16.5,-1.9
2025/2,5.0,13.4,-2.4
2025/3,11.3,25.9,1.6
2025/4,15.4,26.6,4.6
2025/5,19.3,29.5,10.3
2025/6,24.5,35.1,14.0
2025/7,28.9,36.3,21.9
2025/8,29.4,36.7,24.2
2025/9,27.5,35.7,17.6
2025/10,21.7,31.0,9.1
2025/11,14.0,22.7,5.5
2025/12,9.6,21.4,1.9
